STATEFP|COUNTYFP|DISTRICT|NAME|NAMELSAD
10|001|001-28|01-28|01-28
10|001|001-29|01-29|01-29
10|001|001-30|01-30|01-30
10|001|001-31|01-31|01-31
10|001|001-32|01-32|01-32
10|001|001-33|01-33|01-33
10|001|001-34|01-34|01-34
10|001|002-28|02-28|02-28
10|001|002-29|02-29|02-29
10|001|002-30|02-30|02-30
10|001|002-31|02-31|02-31
10|001|002-32|02-32|02-32
10|001|002-33|02-33|02-33
10|001|002-34|02-34|02-34
10|001|003-28|03-28|03-28
10|001|003-29|03-29|03-29
10|001|003-30|03-30|03-30
10|001|003-31|03-31|03-31
10|001|003-32|03-32|03-32
10|001|003-33|03-33|03-33
10|001|003-34|03-34|03-34
10|001|004-28|04-28|04-28
10|001|004-29|04-29|04-29
10|001|004-30|04-30|04-30
10|001|004-31|04-31|04-31
10|001|004-32|04-32|04-32
10|001|004-33|04-33|04-33
10|001|004-34|04-34|04-34
10|001|005-28|05-28|05-28
10|001|005-29|05-29|05-29
10|001|005-30|05-30|05-30
10|001|005-31|05-31|05-31
10|001|005-32|05-32|05-32
10|001|005-33|05-33|05-33
10|001|005-34|05-34|05-34
10|001|006-28|06-28|06-28
10|001|006-29|06-29|06-29
10|001|006-30|06-30|06-30
10|001|006-31|06-31|06-31
10|001|006-32|06-32|06-32
10|001|006-33|06-33|06-33
10|001|006-34|06-34|06-34
10|001|007-28|07-28|07-28
10|001|007-29|07-29|07-29
10|001|007-30|07-30|07-30
10|001|007-31|07-31|07-31
10|001|007-32|07-32|07-32
10|001|007-33|07-33|07-33
10|001|007-34|07-34|07-34
10|001|008-28|08-28|08-28
10|001|008-32|08-32|08-32
10|001|008-33|08-33|08-33
10|001|008-34|08-34|08-34
10|001|009-08|09-08|09-08
10|001|009-28|09-28|09-28
10|001|009-32|09-32|09-32
10|001|009-34|09-34|09-34
10|001|010-08|10-08|10-08
10|001|010-28|10-28|10-28
10|001|010-32|10-32|10-32
10|001|010-34|10-34|10-34
10|001|011-08|11-08|11-08
10|001|011-28|11-28|11-28
10|001|012-08|12-08|12-08
10|001|012-28|12-28|12-28
10|001|013-28|13-28|13-28
10|001|014-28|14-28|14-28
10|003|001-01|01-01|01-01
10|003|001-02|01-02|01-02
